MPG,Cyl,Displacement,Horsepower,Weight,Acceleration,Year,CountryCode,Model,Scored Labels
28,4,112,88,2605,19.6,82,1,chevrolet cavalier,25.078858820461
31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback,27.1331059852611
33.5,4,98,83,2075,15.9,77,1,dodge colt m/m,27.0315666047222
30,4,88,76,2065,14.5,71,2,fiat 124b,27.6768817843476
26,4,121,113,2234,12.5,70,2,bmw 2002,25.0100909133156
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,12.5147742420059
24,4,140,92,2865,16.4,82,1,ford fairmont futura,25.758813155558
23.2,4,156,105,2745,16.7,78,1,plymouth sapporo,23.5265865205586
21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6,22.0559013971995
23,4,115,95,2694,15,75,2,audi 100ls,19.6131916661283
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe,34.0517107672787
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),27.1927352532616
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl,35.5723974033114
26,4,96,69,2189,18,72,2,renault 12 (sw),26.5957314577153
34,4,108,70,2245,16.9,82,3,toyota corolla,32.1833862589958
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,12.4535623927108
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,13.5728993881327
18,6,171,97,2984,14.5,75,1,ford pinto,19.7535012192144
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,14.5545902002346
24.5,4,151,88,2740,16,77,1,pontiac sunbird coupe,24.8056643877611
20.2,6,200,88,3060,17.1,81,1,ford granada gl,24.5589784263796
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback,30.1315945690799
31.6,4,120,74,2635,18.3,81,3,mazda 626,30.5834298004181
40.8,4,85,65,2110,19.2,80,3,datsun 210,31.8787227226721
17.7,6,231,165,3445,13.4,78,1,buick regal sport coupe (turbo),17.6681637683362
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw),19.645523975727
24,6,200,81,3012,17.6,76,1,ford maverick,20.0204413188685
13,8,350,175,4100,13,73,1,buick century 350,13.2628832005199
15,6,258,110,3730,19,75,1,amc matador,15.0865511462031
13,8,400,190,4422,12.5,72,1,chrysler newport royal,11.3585085110873
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel,33.1854324327109
17,6,163,125,3140,13.6,78,2,volvo 264gl,23.088036973407
16,8,400,180,4220,11.1,77,1,pontiac grand prix lj,15.8170304026326
37.7,4,89,62,2050,17.3,81,3,toyota tercel,33.8725796578928
38,4,91,67,1995,16.2,82,3,datsun 310 gx,34.6748888428393
26,4,97,75,2265,18.2,77,3,toyota corolla liftback,29.9147829131092
13,8,302,129,3169,12,75,1,ford mustang ii,21.3277618162345
21,6,199,90,2648,15,70,1,amc gremlin,18.378831024855
15,8,429,198,4341,10,70,1,ford galaxie 500,11.6554233379013
28,4,107,86,2464,15.5,76,2,fiat 131,27.2341779609804
26.6,4,151,84,2635,16.4,81,1,buick skylark,26.9754531378973
15.5,8,350,170,4165,11.4,77,1,chevrolet monte carlo landau,15.4027069185234
15,8,304,150,3892,12.5,72,1,amc matador (sw),16.05010760217
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix,28.790797730094
31.3,4,120,75,2542,17.5,80,3,mazda 626,30.8299551787045
23,8,350,125,3900,17.4,79,1,cadillac eldorado,18.6031323331296
15,6,250,72,3158,19.5,75,1,ford maverick,19.6130009909613
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit,33.1779822902954
19.4,8,318,140,3735,13.2,78,1,dodge diplomat,19.1486042395742
38,4,91,67,1965,15,82,3,honda civic,33.2271639804753
39,4,86,64,1875,16.4,81,1,plymouth champ,30.6746961487318
20,6,156,122,2807,13.5,73,3,toyota mark ii,18.0226164295753
31,4,76,52,1649,16.5,74,3,toyota corona,30.5914135427352
31,4,71,65,1773,19,71,3,toyota corolla 1200,29.2880190169228
20,4,97,88,2279,19,73,3,toyota carina,26.6634619596216
27,4,97,88,2130,14.5,70,3,datsun pl510,26.5729288694709
18,6,225,95,3785,19,75,1,plymouth fury,18.0302753949731
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis,19.4038157681352
36,4,120,88,2160,14.5,82,3,nissan stanza xe,33.57658306644
26,4,122,80,2451,16.5,74,1,ford pinto,21.9954306565743
13,8,350,145,4055,12,76,1,chevy c10,17.7243609109823
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon,23.8726491159978
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door,26.6895750008058
15,8,302,130,4295,14.9,77,1,mercury cougar brougham,16.2832182786595
